name,category,city
Kebab House,fast_food,Москва
Sushilka,fast_food,Москва
Восточный базар,fast_food,Москва
Ёжики-Тефтельки,fast_food,Москва
Сити Бургер,fast_food,Москва
Пражечка,restaurant,Москва
Максима пицца,restaurant,Москва
СССР,cafe,Москва
Каро 10 Щука,cinema,Москва
Трын-Трава,restaurant,Москва
Пилзнер,restaurant,Москва
Милк,bar,Москва
Синема Люкс,cinema,Москва
Синема Стар Ереван Плаза,cinema,Москва
Тапчан,restaurant,Москва
Очаг Гурманов,cafe,Москва
Наш Двор,bar,Москва
Кампус,restaurant,Москва
Музей-квартира А. С. Пушкина,museum,Москва
Дом культуры,arts_centre,Москва
Аромат востока,restaurant,Москва
Планета Суши,restaurant,Москва
Оркестрион (Российский национальный оркестр),theatre,Москва
Фантоцци,restaurant,Москва
Таверна Ситио,bar,Москва
Domino Pizza,fast_food,Москва
Театр Стаса Намина,theatre,Москва
Пекарня Маман,cafe,Москва
Виктория,cafe,Москва
Уют,fast_food,Москва
Кафе Халяль Пекарня,fast_food,Москва
& Action,bar,Москва
Ласточка,cafe,Москва
Мечта,cafe,Москва
Совёнок-2,mall,Москва
Совёнок-1,mall,Москва
Интеркосмос,artwork,Москва
Молли Гвинн'з,pub,Москва
Буффало,restaurant,Москва
Акира,restaurant,Москва
Автограф,restaurant,Москва
,cinema,Москва
Гандзак,restaurant,Москва
Твое кафе,cafe,Москва
Ростокинский дворник,artwork,Москва
Паровоз Л-3516,attraction,Москва
Магнат,restaurant,Москва
Па-паэлья,restaurant,Москва
Иллюзион,cinema,Москва
"Фонд культуры ""Екатерина""",arts_centre,Москва
Чикко Клуб,restaurant,Москва
Московский дворик,pub,Москва
Золотой Фазан,restaurant,Москва
Ткемали,restaurant,Москва
Экспедиция,restaurant,Москва
Пять звезд на Новокузнецкой,cinema,Москва
Охотник,restaurant,Москва
Pizza Express,fast_food,Москва
Хинкальный дом Колхида,restaurant,Москва
Штолле,cafe,Москва
Positano,restaurant,Москва
Айва,cafe,Москва
Клешни и хвосты,restaurant,Москва
Даблби,cafe,Москва
Чемодан,restaurant,Москва
Busby,pub,Москва
Ла Маре,restaurant,Москва
Тверская,artwork,Москва
Палаццо Дукале,restaurant,Москва
Страстная площадь,artwork,Москва
Жан-Жак,restaurant,Москва
Венеция,restaurant,Москва
Русский паб,restaurant,Москва
Тверской бульваръ,artwork,Москва
Домжур,restaurant,Москва
Saviv,restaurant,Москва
Padron,restaurant,Москва
Палео,cafe,Москва
Babacha,restaurant,Москва
Yoko,restaurant,Москва
Country Chicken,fast_food,Москва
Хмелёфф,pub,Москва
Шум,bar,Москва
Алтаргана,cafe,Москва
БирШтрассе,restaurant,Москва
Маленькая Япония,restaurant,Москва
Ёлки-Палки,restaurant,Москва
Взлет,cafe,Москва
Общежитие МАИ,cafe,Москва
Тандыр,fast_food,Москва
Золотая Вобла,pub,Москва
Чебуречная № 1,cafe,Москва
Штос,restaurant,Москва
Государственный мемориальный музей Б.Ш. Окуджавы,museum,Москва
Столовая МГАУ,fast_food,Москва
Хинкальная.Ge,restaurant,Москва
Столовая Б «Профессура»,fast_food,Москва
Столовая В «Профессура»,fast_food,Москва
Факультет,cafe,Москва
Постскриптум,theatre,Москва
GlowSubs,fast_food,Москва
Романофф,fast_food,Москва
Театрально-концертный зал ЦДКЖ,theatre,Москва
Friends&Family,restaurant,Москва
Кура,restaurant,Москва
Il Borgo,restaurant,Москва
Шашлык-башлык,cafe,Москва
Сокровище,restaurant,Москва
Территория,bar,Москва
Мцхета,restaurant,Москва
Надин,cafe,Москва
Янис,restaurant,Москва
Русские валенки,museum,Москва
Чебуречная СССР,cafe,Москва
Гаврош,cafe,Москва
Музей Героев Советского Союза Зои и Александра Космодемьянских,museum,Москва
Шашлык-Машлык,restaurant,Москва
Палехский дворик,cafe,Москва
Stars Coffee,cafe,Москва
Аквариум,cafe,Москва
Алазанская долина,restaurant,Москва
Verdi,restaurant,Москва
El Caracol,cafe,Москва
Гурман,cafe,Москва
Такэ,restaurant,Москва
Лига пап,restaurant,Москва
Паста и Баста,restaurant,Москва
Кулинарная лавка братьев Караваевых,cafe,Москва
Камерный музыкальный театр Эль Арт,theatre,Москва
Гжель,theatre,Москва
Floo,cafe,Москва
Верим в команду,bar,Москва
Шантимель,cafe,Москва
Mr.Ambar,bar,Москва
Сезон синема,cinema,Москва
Чайхана Павлин-Мавлин,restaurant,Москва
Ulysses,pub,Москва
Пироги-Штрассе,fast_food,Москва
Театр Армена Джигарханяна,theatre,Москва
Андиамо,cafe,Москва
Санта-Пицца,restaurant,Москва
Kitchen,cafe,Москва
Граф Монте-Кристо,nightclub,Москва
Sova,bar,Москва
Архитектор,cafe,Москва
Торро Гриль,restaurant,Москва
Ромэн,theatre,Москва
Чачапури,cafe,Москва
Курага,restaurant,Москва
Пронто,cafe,Москва
The Бык,restaurant,Москва
Суши Wok,fast_food,Москва
Солнце востока,restaurant,Москва
Шпилька - Чертаново,stripclub,Москва
Мел,theatre,Москва
Sous,cafe,Москва
Барбарис,restaurant,Москва
X.O.,restaurant,Москва
Бирхаус,pub,Москва
Сытый лось,cafe,Москва
Каро Фильм Октябрь,cinema,Москва
Булка,cafe,Москва
Чайхона №1,restaurant,Москва
Альпинисты,artwork,Москва
Дерево любви,artwork,Москва
Купание лошадей,artwork,Москва
Монте Кристо,restaurant,Москва
Восточный Уют,restaurant,Москва
Лани,artwork,Москва
Траттория Semplice,restaurant,Москва
Трехарочный грот,attraction,Москва
Большой грот,attraction,Москва
Березовая роща,restaurant,Москва
Столовая №8,fast_food,Москва
Bell Pub,bar,Москва
Смоковница,cafe,Москва
Волгоград,cinema,Москва
Капли,cafe,Москва
"Большой концертный зал ""Космос""",theatre,Москва
Фрателлидзе,restaurant,Москва
Столовая,cafe,Москва
Карамель,cafe,Москва
"Театр марионеток ""Фигаро""",theatre,Москва
Русский лес,cafe,Москва
Диалог,cafe,Москва
В честь украинско-российской дружбы,attraction,Москва
Домашний,cafe,Москва
Школа искусств,arts_centre,Москва
Суши Wok,restaurant,Москва
Тайна,restaurant,Москва
Carnaval,restaurant,Москва
Sokolniki,food_court,Москва
One Price Coffee,fast_food,Москва
Донеры,fast_food,Москва
Фестивальное,cafe,Москва
Столовая №57,fast_food,Москва
Крылья,pub,Москва
Дети — жертвы пороков взрослых,artwork,Москва
Flute,restaurant,Москва
Вилла Густо,restaurant,Москва
Техас Чикен,fast_food,Москва
Legio,fast_food,Москва
Tehnikum,restaurant,Москва
Bobby Dazzler,pub,Москва
Mollie's Pub,pub,Москва
Театр Мимики и Жеста,theatre,Москва
